Time,Acceleration,Velocity,Position
1736.00,0.42,-0.00,-0.00
1747.00,0.34,-0.00,-0.00
1760.00,0.27,-0.00,-0.00
1771.00,0.20,-0.00,-0.00
1784.00,0.18,-0.00,-0.00
1796.00,0.18,-0.00,-0.00
1807.00,0.12,-0.00,-0.00
1820.00,0.08,-0.00,-0.00
1831.00,0.05,-0.00,-0.00
1844.00,0.01,-0.00,-0.00
1856.00,0.01,-0.00,-0.00
1867.00,0.00,-0.00,-0.00
1880.00,-0.00,-0.00,-0.00
1891.00,-0.01,-0.00,-0.00
1904.00,-0.01,-0.00,-0.00
1915.00,-0.02,-0.00,-0.00
1928.00,-0.03,-0.00,-0.00
1940.00,-0.03,-0.00,-0.00
1951.00,-0.04,-0.00,-0.00
1964.00,-0.05,-0.00,-0.00
1976.00,-0.07,-0.00,-0.00
1987.00,-0.07,-0.00,-0.00
2000.00,-0.07,-0.00,-0.00
2011.00,-0.07,-0.00,-0.00
2024.00,-0.06,-0.00,-0.00
2035.00,-0.04,-0.00,-0.00
2047.00,-0.03,-0.00,-0.00
2060.00,-0.03,-0.00,-0.00
2071.00,-0.04,-0.00,-0.00
2084.00,-0.03,-0.00,-0.00
2095.00,-0.04,-0.00,-0.00
2108.00,-0.04,-0.00,-0.00
2120.00,-0.05,-0.00,-0.00
2131.00,-0.06,-0.00,-0.00
2144.00,-0.06,-0.00,-0.00
2156.00,-0.05,-0.00,-0.00
2167.00,-0.04,-0.00,-0.00
2180.00,-0.04,-0.00,-0.00
2191.00,-0.04,-0.00,-0.00
2204.00,-0.05,-0.00,-0.00
2216.00,-0.04,-0.00,-0.00
2227.00,-0.05,-0.00,-0.00
2240.00,-0.04,-0.00,-0.00
2251.00,-0.05,-0.00,-0.00
2264.00,-0.06,-0.00,-0.00
2276.00,-0.07,-0.00,-0.01
2287.00,-0.07,-0.00,-0.01
2300.00,-0.07,-0.00,-0.01
2311.00,-0.07,-0.00,-0.01
2324.00,-0.08,-0.00,-0.01
2335.00,-0.08,-0.00,-0.01
2347.00,-0.07,-0.00,-0.01
2360.00,-0.07,-0.00,-0.01
2371.00,-0.06,-0.00,-0.01
2384.00,-0.07,-0.00,-0.01
2395.00,-0.06,-0.00,-0.01
2407.00,-0.05,-0.00,-0.01
2420.00,-0.05,-0.00,-0.01
2431.00,-0.05,-0.00,-0.01
2444.00,-0.05,-0.00,-0.01
2455.00,-0.06,-0.00,-0.01
2468.00,-0.06,-0.00,-0.01
2480.00,-0.04,-0.00,-0.01
2491.00,-0.04,-0.00,-0.01
2504.00,-0.05,-0.00,-0.01
2515.00,-0.06,-0.00,-0.01
2528.00,-0.07,-0.00,-0.01
2540.00,-0.08,-0.00,-0.01
2551.00,-0.07,-0.00,-0.01
2564.00,-0.08,-0.00,-0.01
2575.00,-0.07,-0.00,-0.01
2587.00,-0.06,-0.00,-0.01
2600.00,-0.06,-0.00,-0.01
2611.00,-0.06,-0.00,-0.01
2624.00,-0.06,-0.00,-0.01
2635.00,-0.06,-0.00,-0.01
2647.00,-0.06,-0.00,-0.01
