Time,Acceleration,Velocity,Position
2012.00,1.01,0.02,0.02
2023.00,1.00,0.02,0.02
2036.00,0.97,0.02,0.02
2048.00,0.97,0.02,0.02
2059.00,0.97,0.02,0.02
2072.00,0.97,0.02,0.02
2083.00,0.97,0.02,0.02
2096.00,0.98,0.02,0.02
2108.00,0.98,0.02,0.02
2119.00,0.98,0.02,0.02
2132.00,0.96,0.02,0.02
2143.00,0.95,0.02,0.02
2156.00,0.95,0.02,0.02
2168.00,0.97,0.02,0.02
2179.00,0.98,0.02,0.02
2192.00,0.98,0.02,0.02
2203.00,0.99,0.02,0.02
2216.00,0.99,0.02,0.02
2228.00,0.99,0.02,0.02
2239.00,1.01,0.02,0.02
2252.00,1.03,0.02,0.02
2263.00,1.09,0.02,0.02
2276.00,1.09,0.02,0.02
2288.00,1.09,0.02,0.02
2299.00,1.07,0.02,0.02
2312.00,1.05,0.02,0.02
2323.00,1.05,0.02,0.03
2336.00,1.04,0.02,0.03
2348.00,1.03,0.02,0.03
2359.00,1.00,0.02,0.03
2372.00,0.98,0.02,0.03
2383.00,0.97,0.02,0.03
2396.00,0.98,0.02,0.03
2407.00,0.98,0.02,0.03
2419.00,0.98,0.02,0.03
2432.00,0.98,0.02,0.03
2443.00,0.97,0.02,0.03
2456.00,0.97,0.02,0.03
2467.00,0.97,0.02,0.03
2480.00,0.99,0.02,0.03
2492.00,1.01,0.02,0.03
2503.00,1.02,0.02,0.03
2516.00,1.03,0.02,0.03
2528.00,1.05,0.02,0.03
2539.00,1.06,0.02,0.03
2552.00,1.07,0.02,0.03
2563.00,1.08,0.02,0.03
2576.00,1.10,0.02,0.03
2588.00,1.12,0.02,0.03
2599.00,1.11,0.02,0.03
2612.00,1.08,0.02,0.03
2623.00,1.06,0.02,0.03
2636.00,1.02,0.03,0.03
2648.00,1.02,0.03,0.03
2659.00,1.03,0.03,0.03
2672.00,1.03,0.03,0.03
2683.00,1.02,0.03,0.03
2696.00,1.01,0.03,0.03
2708.00,1.01,0.03,0.03
2719.00,1.00,0.03,0.03
2732.00,0.98,0.03,0.03
2743.00,0.98,0.03,0.04
2756.00,0.98,0.03,0.04
2768.00,0.99,0.03,0.04
2779.00,1.00,0.03,0.04
2792.00,1.02,0.03,0.04
2803.00,1.02,0.03,0.04
2816.00,1.03,0.03,0.04
2828.00,1.02,0.03,0.04
2839.00,1.02,0.03,0.04
2852.00,1.03,0.03,0.04
2863.00,1.03,0.03,0.04
2876.00,1.01,0.03,0.04
2888.00,1.02,0.03,0.04
2899.00,1.04,0.03,0.04
2912.00,1.04,0.03,0.04
2923.00,1.03,0.03,0.04
2936.00,1.02,0.03,0.04
2948.00,1.00,0.03,0.04
2959.00,0.99,0.03,0.04
2972.00,0.98,0.03,0.04
2983.00,0.98,0.03,0.04
2996.00,0.99,0.03,0.04
3008.00,0.98,0.03,0.04
3019.00,0.99,0.03,0.04
3032.00,0.99,0.03,0.04
3043.00,0.99,0.03,0.04
3056.00,0.97,0.03,0.04
