Time,Acceleration,Velocity,Position
8.00,0.98,0.00,0.00
19.00,0.99,0.00,0.00
32.00,1.01,0.00,0.00
43.00,1.02,0.00,0.00
56.00,1.02,0.00,0.00
67.00,1.01,0.00,0.00
80.00,1.00,0.00,0.00
91.00,0.97,0.00,0.00
104.00,0.97,0.00,0.00
115.00,0.97,0.00,0.00
128.00,0.99,0.00,0.00
139.00,1.00,0.00,0.00
152.00,1.01,0.00,0.00
164.00,1.02,0.00,0.00
176.00,1.02,0.00,0.00
188.00,0.99,0.00,0.00
200.00,0.96,0.00,0.00
212.00,0.97,0.00,0.00
223.00,0.99,0.00,0.00
236.00,1.04,0.00,0.00
247.00,1.06,0.00,0.00
260.00,1.06,0.00,0.00
271.00,1.05,0.00,0.00
284.00,1.02,0.00,0.00
296.00,1.00,0.00,0.00
308.00,0.99,0.00,0.00
320.00,0.97,0.00,0.00
332.00,0.96,0.00,0.00
344.00,0.97,0.00,0.00
356.00,1.00,0.00,0.00
368.00,1.01,0.00,0.00
380.00,1.02,0.00,0.00
392.00,1.00,0.00,0.00
404.00,0.97,0.00,0.00
416.00,0.95,0.00,0.00
428.00,0.95,0.00,0.00
440.00,0.98,0.00,0.00
452.00,1.00,0.00,0.00
464.00,1.02,0.00,0.00
476.00,1.03,0.00,0.00
488.00,1.02,0.00,0.00
499.00,1.00,0.01,0.00
512.00,0.98,0.01,0.00
523.00,0.97,0.01,0.00
536.00,0.99,0.01,0.00
547.00,1.01,0.01,0.00
560.00,1.02,0.01,0.00
571.00,1.01,0.01,0.00
584.00,1.01,0.01,0.00
595.00,1.01,0.01,0.00
608.00,1.00,0.01,0.00
620.00,0.99,0.01,0.00
632.00,0.99,0.01,0.00
643.00,0.99,0.01,0.00
656.00,1.01,0.01,0.00
668.00,1.01,0.01,0.00
680.00,1.01,0.01,0.00
692.00,0.99,0.01,0.00
704.00,0.94,0.01,0.00
716.00,0.96,0.01,0.00
728.00,0.97,0.01,0.00
740.00,0.99,0.01,0.00
752.00,1.03,0.01,0.00
764.00,1.04,0.01,0.00
775.00,1.04,0.01,0.00
788.00,1.03,0.01,0.00
800.00,1.02,0.01,0.00
811.00,0.99,0.01,0.00
824.00,0.96,0.01,0.00
836.00,0.94,0.01,0.00
848.00,0.95,0.01,0.00
860.00,0.98,0.01,0.00
871.00,1.02,0.01,0.00
884.00,1.05,0.01,0.00
896.00,1.04,0.01,0.00
908.00,1.01,0.01,0.00
920.00,0.98,0.01,0.00
932.00,0.97,0.01,0.00
944.00,0.98,0.01,0.00
956.00,0.98,0.01,0.00
968.00,1.00,0.01,0.00
980.00,1.01,0.01,0.00
992.00,1.02,0.01,0.00
1004.00,1.03,0.01,0.01
1016.00,1.02,0.01,0.01
1027.00,1.01,0.01,0.01
1040.00,1.00,0.01,0.01
1052.00,1.01,0.01,0.01
1063.00,1.00,0.01,0.01
1076.00,1.02,0.01,0.01
1088.00,1.03,0.01,0.01
1100.00,1.04,0.01,0.01
1112.00,1.07,0.01,0.01
1124.00,1.13,0.01,0.01
1136.00,1.17,0.01,0.01
1148.00,1.19,0.01,0.01
1159.00,1.25,0.01,0.01
1172.00,1.35,0.01,0.01
1184.00,1.48,0.01,0.01
1196.00,1.58,0.01,0.01
1208.00,1.62,0.01,0.01
1219.00,1.68,0.01,0.01
1232.00,1.75,0.01,0.01
1243.00,1.91,0.01,0.01
1256.00,2.04,0.01,0.01
1267.00,2.28,0.01,0.01
1280.00,2.34,0.01,0.01
1291.00,2.36,0.01,0.01
1304.00,2.19,0.01,0.01
1316.00,2.30,0.01,0.01
1327.00,1.72,0.01,0.01
1340.00,1.45,0.02,0.01
1351.00,1.01,0.02,0.01
1363.00,0.25,0.02,0.01
1376.00,-0.04,0.02,0.01
1387.00,0.06,0.02,0.01
1399.00,-0.09,0.02,0.01
1412.00,0.03,0.02,0.01
1423.00,0.08,0.02,0.01
1435.00,-0.19,0.02,0.01
1448.00,-0.39,0.02,0.01
1459.00,-0.32,0.02,0.01
1471.00,-0.40,0.02,0.01
1484.00,-0.36,0.02,0.01
1495.00,-0.35,0.02,0.01
1507.00,-0.04,0.02,0.01
1520.00,0.05,0.02,0.01
1531.00,-0.19,0.01,0.01
1544.00,-0.62,0.01,0.01
1556.00,-0.31,0.01,0.01
1567.00,-0.17,0.01,0.01
1580.00,-0.15,0.01,0.01
1592.00,-0.14,0.01,0.01
1603.00,0.16,0.01,0.01
1615.00,0.32,0.01,0.01
1628.00,0.19,0.01,0.01
1640.00,0.17,0.01,0.01
1651.00,0.26,0.01,0.01
1663.00,0.44,0.02,0.01
1676.00,0.20,0.02,0.01
1687.00,2.64,0.02,0.01
1699.00,2.52,0.02,0.01
1712.00,1.37,0.02,0.01
1724.00,0.46,0.02,0.01
1735.00,1.13,0.02,0.02
1748.00,2.22,0.02,0.02
1760.00,2.15,0.02,0.02
1771.00,1.30,0.02,0.02
1784.00,0.40,0.02,0.02
1795.00,0.76,0.02,0.02
1808.00,2.09,0.02,0.02
1820.00,1.90,0.02,0.02
1831.00,1.99,0.02,0.02
1844.00,1.78,0.02,0.02
1855.00,1.52,0.02,0.02
1868.00,1.06,0.02,0.02
1880.00,0.94,0.02,0.02
1891.00,0.71,0.02,0.02
1904.00,0.69,0.02,0.02
1915.00,0.86,0.02,0.02
1928.00,0.92,0.02,0.02
1939.00,0.92,0.02,0.02
1952.00,0.90,0.02,0.02
1963.00,0.31,0.02,0.02
1976.00,1.54,0.02,0.02
1987.00,0.90,0.02,0.02
2000.00,1.03,0.02,0.02
2011.00,1.26,0.02,0.02
2024.00,1.26,0.02,0.02
2035.00,0.97,0.02,0.02
2048.00,0.73,0.02,0.02
2059.00,0.59,0.02,0.02
