Time,Acceleration,Velocity,Position
8.00,-0.03,-0.00,-0.00
19.00,-0.04,-0.00,-0.00
32.00,-0.04,-0.00,-0.00
44.00,-0.02,-0.00,-0.00
55.00,-0.00,-0.00,-0.00
68.00,0.02,-0.00,-0.00
80.00,0.02,-0.00,-0.00
91.00,0.00,-0.00,-0.00
103.00,-0.02,-0.00,-0.00
116.00,-0.05,-0.00,-0.00
127.00,-0.04,-0.00,-0.00
139.00,-0.03,-0.00,-0.00
152.00,-0.02,-0.00,-0.00
163.00,-0.04,-0.00,-0.00
175.00,-0.04,-0.00,-0.00
188.00,-0.04,-0.00,-0.00
199.00,-0.03,-0.00,-0.00
211.00,-0.01,-0.00,-0.00
224.00,0.01,-0.00,-0.00
235.00,0.02,-0.00,-0.00
247.00,0.04,-0.00,-0.00
260.00,0.01,-0.00,-0.00
272.00,-0.01,-0.00,-0.00
283.00,-0.02,-0.00,-0.00
296.00,-0.02,-0.00,-0.00
308.00,-0.03,-0.00,-0.00
319.00,-0.03,-0.00,-0.00
332.00,-0.01,-0.00,-0.00
344.00,0.01,-0.00,-0.00
355.00,0.00,-0.00,-0.00
367.00,0.00,-0.00,-0.00
380.00,-0.02,-0.00,-0.00
392.00,-0.02,-0.00,-0.00
403.00,-0.02,-0.00,-0.00
416.00,-0.03,-0.00,-0.00
428.00,-0.02,-0.00,-0.00
439.00,-0.01,-0.00,-0.00
452.00,0.00,-0.00,-0.00
464.00,0.01,-0.00,-0.00
475.00,0.01,-0.00,-0.00
487.00,0.01,-0.00,-0.00
500.00,-0.00,-0.00,-0.00
511.00,-0.02,-0.00,-0.00
523.00,-0.00,-0.00,-0.00
536.00,-0.01,-0.00,-0.00
547.00,-0.02,-0.00,-0.00
559.00,-0.02,-0.00,-0.00
572.00,-0.01,-0.00,-0.00
583.00,-0.00,-0.00,-0.00
595.00,0.01,-0.00,-0.00
608.00,0.01,-0.00,-0.00
620.00,-0.01,-0.00,-0.00
631.00,-0.01,-0.00,-0.00
644.00,-0.01,-0.00,-0.00
656.00,-0.03,-0.00,-0.00
667.00,-0.05,-0.00,-0.00
680.00,-0.03,-0.00,-0.00
692.00,-0.00,-0.00,-0.00
703.00,0.02,-0.00,-0.00
716.00,0.03,-0.00,-0.00
728.00,0.02,-0.00,-0.00
739.00,0.00,-0.00,-0.00
751.00,-0.01,-0.00,-0.00
764.00,-0.01,-0.00,-0.00
775.00,-0.02,-0.00,-0.00
787.00,-0.02,-0.00,-0.00
800.00,-0.01,-0.00,-0.00
811.00,0.02,-0.00,-0.00
823.00,0.01,-0.00,-0.00
836.00,0.03,-0.00,-0.00
848.00,0.02,-0.00,-0.00
859.00,-0.00,-0.00,-0.00
872.00,-0.01,-0.00,-0.00
884.00,-0.00,-0.00,-0.00
895.00,0.01,-0.00,-0.00
908.00,0.04,-0.00,-0.00
920.00,0.05,-0.00,-0.00
931.00,0.07,-0.00,-0.00
943.00,0.06,-0.00,-0.00
956.00,0.01,-0.00,-0.00
967.00,0.00,-0.00,-0.00
979.00,-0.01,-0.00,-0.00
992.00,-0.02,-0.00,-0.00
1004.00,0.02,-0.00,-0.00
1015.00,0.07,-0.00,-0.00
1028.00,0.09,-0.00,-0.00
1040.00,0.08,-0.00,-0.00
1051.00,0.04,-0.00,-0.00
1064.00,0.03,-0.00,-0.00
1076.00,0.07,-0.00,-0.00
1087.00,0.18,0.00,-0.00
1099.00,0.57,0.00,-0.00
1112.00,0.74,0.00,-0.00
1124.00,0.83,0.00,-0.00
1135.00,0.82,0.00,-0.00
1148.00,0.88,0.00,-0.00
1160.00,0.95,0.00,-0.00
1171.00,1.06,0.00,-0.00
1184.00,1.23,0.00,-0.00
1196.00,1.46,0.00,-0.00
1207.00,1.68,0.00,0.00
1220.00,1.59,0.00,0.00
1232.00,1.65,0.00,0.00
1243.00,1.44,0.00,0.00
1256.00,1.37,0.00,0.00
1267.00,1.04,0.00,0.00
1280.00,0.17,0.00,0.00
1292.00,-0.23,0.00,0.00
1303.00,-0.62,0.00,0.00
1316.00,-0.96,0.00,0.00
1327.00,-0.99,0.00,0.00
1340.00,-0.61,0.00,0.00
1352.00,-0.27,0.00,0.00
1363.00,-0.55,0.00,0.00
1376.00,-0.27,0.00,0.00
1387.00,-0.37,0.00,0.00
1400.00,-0.71,0.00,0.00
1412.00,-1.25,0.00,0.00
1423.00,-1.44,0.00,0.00
1436.00,-1.09,0.00,0.00
1447.00,-1.22,0.00,0.00
1460.00,-0.17,0.00,0.00
1472.00,-0.31,0.00,0.00
1483.00,-0.51,0.00,0.00
1496.00,-0.62,0.00,0.00
1507.00,-0.63,0.00,0.00
1520.00,-0.56,0.00,0.00
1532.00,-0.43,0.00,0.00
1544.00,-0.27,0.00,0.00
1556.00,-0.05,0.00,0.00
1567.00,0.15,0.00,0.00
1580.00,0.10,0.00,0.00
1591.00,0.01,0.00,0.00
1604.00,-0.08,0.00,0.00
1616.00,-0.07,0.00,0.00
1627.00,0.04,0.00,0.00
1640.00,0.10,0.00,0.00
1651.00,0.11,0.00,0.00
1664.00,0.15,0.00,0.00
1676.00,0.20,0.00,0.00
1687.00,0.17,0.00,0.00
1700.00,0.09,0.00,0.00
1711.00,0.07,0.00,0.00
1724.00,0.05,0.00,0.00
1736.00,0.05,0.00,0.00
1747.00,0.10,0.00,0.00
1760.00,0.14,0.00,0.00
1771.00,0.16,0.00,0.00
1784.00,0.13,0.00,0.00
1796.00,0.08,0.00,0.00
1807.00,0.13,0.00,0.00
1820.00,0.13,0.00,0.00
1831.00,0.18,0.00,0.00
1844.00,0.19,0.00,0.00
1856.00,0.19,0.00,0.00
1867.00,0.19,0.00,0.00
1880.00,0.19,0.00,0.00
1891.00,0.19,0.00,0.00
1904.00,0.20,0.00,0.00
1916.00,0.20,0.00,0.00
1927.00,0.20,0.00,0.00
1940.00,0.20,0.00,0.00
1951.00,0.14,0.00,0.00
1964.00,0.16,0.00,0.00
1976.00,0.18,0.00,0.00
1987.00,0.20,0.00,0.00
2000.00,0.21,0.00,0.00
2011.00,0.20,0.00,0.00
2024.00,0.18,0.00,0.00
2036.00,0.13,0.00,0.00
2047.00,0.17,0.00,0.00
2060.00,0.21,0.00,0.00
2071.00,0.23,0.00,0.00
2084.00,0.19,0.00,0.00
2096.00,0.12,0.00,0.00
2107.00,0.09,0.00,0.00
2120.00,0.12,0.00,0.00
2131.00,0.14,0.00,0.00
2144.00,0.24,0.00,0.00
2156.00,0.22,0.00,0.00
2167.00,0.20,0.00,0.00
2180.00,0.16,0.00,0.00
2191.00,0.12,0.00,0.00
2204.00,0.13,0.00,0.00
2216.00,0.16,0.00,0.00
2227.00,0.22,0.00,0.00
2240.00,0.24,0.00,0.00
2251.00,0.25,0.00,0.00
2264.00,0.25,0.00,0.00
2276.00,0.23,0.00,0.00
2287.00,0.20,0.00,0.00
2300.00,0.17,0.00,0.00
